elapsed_time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,reward,terminated,truncated,distance,whip_target_contact,valid_side_hit,arm_tip_ground_hit,robot_ground_contact,arm_self_contact
0.01,0.0016449672176161944,-1.9149419579026203,1.4862359134535545,-0.8613120057594673,-1.5576332104213686,-0.0019879878448019446,1.1138544343964372,0,0,1.5351632909545276,0,0,0,0,0
0.02,0.005153584098261199,-1.9176562315215624,1.4847597207320773,-0.8615425183931331,-1.55859060698674,-0.005629602031228678,-0.16166968340249063,0,0,1.5351031860467907,0,0,0,0,0
0.03,0.010831580393079913,-1.9222320889793447,1.4844153115578387,-0.8627635161818971,-1.560667442075759,-0.010804577945759657,-0.16036084431497316,0,0,1.5350898958537809,0,0,0,0,0
0.04,0.018686473500848764,-1.9272662959517106,1.4841996189432878,-0.8643399045378004,-1.564833043222225,-0.01793638717852973,-0.17232293635897436,0,0,1.5350809837356565,0,0,0,0,0
0.05,0.028487567983752602,-1.9320909324781372,1.48389578114061,-0.8658246372142959,-1.571027237648288,-0.026879715174408132,-0.1801109202982697,0,0,1.5351035658787155,0,0,0,0,0
0.06,0.03998570221131841,-1.9365253240646603,1.4827890787726412,-0.8661507553832704,-1.5791805573284297,-0.036452215848276744,-0.17296085442929926,0,0,1.5351079907427847,0,0,0,0,0
0.07,0.052994817132769365,-1.940451311369179,1.4813261055821094,-0.8656020211542818,-1.589139766866461,-0.046495786636932546,-0.17068719577509592,0,0,1.535087801054435,0,0,0,0,0
0.08,0.06751422949543448,-1.9445145176317638,1.4802859063084117,-0.86338332992473,-1.599543192263392,-0.057731825953510986,-0.1611936724687225,0,0,1.5350381405545486,0,0,0,0,0
0.09,0.08216934990065458,-1.9494328242149082,1.4807386383595889,-0.8609027400533323,-1.6102278054435857,-0.06875595735499594,-0.16301866018684377,0,0,1.5349623323379438,0,0,0,0,0
0.1,0.09780583274581046,-1.954445570519303,1.4814366297110058,-0.858699404538928,-1.6216567660315333,-0.08098565290145496,-0.15552980324029214,0,0,1.5348498004366706,0,0,0,0,0
